nodo,parada,modo,grado,intermediacion,cercania,pagerank
crtm_red_transporte_madrid:2951,Alcalá - Avenida Canillejas,emt,5,0.03694,0.0609,0.000566
crtm_red_transporte_madrid:5926,Ana De Austria - Princesa De Éboli,emt,4,0.03683,0.0538,0.000476
crtm_red_transporte_madrid:1544,Ginzo De Limia - La Vaguada,emt,5,0.03653,0.047,0.000554
crtm_red_transporte_madrid:1338,Veterinaria,emt,5,0.03644,0.0432,0.00059
crtm_red_transporte_madrid:420,República Argentina,emt,5,0.03643,0.0627,0.000476
crtm_red_transporte_madrid:140,Arturo Soria - M11,emt,4,0.03549,0.0596,0.000497
crtm_red_transporte_madrid:70,Cibeles,emt,4,0.03518,0.0653,0.000429
crtm_red_transporte_madrid:786,Diego De León,emt,3,0.03503,0.0665,0.000296
crtm_red_transporte_madrid:685,Alcalá - Parque Bomberos,emt,6,0.03501,0.0629,0.000658
crtm_red_transporte_madrid:5559,Lucero,emt,4,0.03498,0.0507,0.000421
crtm_red_transporte_madrid:51172,Antonio De Leyva - Arroyo Opañel,emt,2,0.03498,0.0591,0.000237
crtm_red_transporte_madrid:1332,Escuela Agronómica,emt,2,0.03486,0.0464,0.00026
crtm_red_transporte_madrid:3427,Vía De Las Dos Castillas,emt,4,0.03435,0.0418,0.000487
crtm_red_transporte_madrid:1334,Palacio De La Moncloa,emt,3,0.03433,0.0448,0.000368
crtm_red_transporte_madrid:2591,Embajadores,emt,3,0.03386,0.0619,0.000329
crtm_red_transporte_madrid:416,Santa Gema,emt,4,0.0337,0.0573,0.000459
crtm_red_transporte_madrid:4576,Casalarreina - Gallo,emt,3,0.03364,0.0645,0.000357
crtm_red_transporte_madrid:736,Argüelles,emt,3,0.03339,0.0502,0.000373
crtm_red_transporte_madrid:738,Altamirano,emt,3,0.03335,0.0498,0.000372
crtm_red_transporte_madrid:2606,El Bosco - Pérez De Ayala,emt,3,0.03305,0.0596,0.000346
crtm_red_transporte_madrid:3563,Josefa Valcárcel,emt,5,0.03267,0.0622,0.000556
crtm_red_transporte_madrid:599,Jardines De Sabatini,emt,7,0.0319,0.0554,0.000657
crtm_red_transporte_madrid:2358,El Rastro,emt,6,0.03157,0.0582,0.000624
crtm_red_transporte_madrid:1951,Rafaela Ybarra - Pradolongo,emt,3,0.03155,0.0489,0.000354
crtm_red_transporte_madrid:4934,Hospital Ramón Y Cajal - Consultas,emt,2,0.03138,0.053,0.000262
crtm_red_transporte_madrid:3918,Carretera De Colmenar - Badalona,emt,3,0.03122,0.0505,0.000385
crtm_red_transporte_madrid:2126,Av. Mediterráneo - Conde De Casal,emt,5,0.03109,0.0612,0.000574
crtm_red_transporte_madrid:1953,Polideportivo Orcasitas,emt,3,0.03096,0.0469,0.000356
crtm_red_transporte_madrid:1957,Rafaela Ybarra - Cestona,emt,6,0.0302,0.0451,0.000713
crtm_red_transporte_madrid:2356,Embajadores - Ronda De Toledo,emt,4,0.03,0.0598,0.000424
crtm_red_transporte_madrid:5865,Sauceda - Abetal,emt,3,0.02986,0.0564,0.000378
crtm_red_transporte_madrid:2949,Alcalá - 25 De Septiembre,emt,4,0.02959,0.0548,0.000522
crtm_red_transporte_madrid:2622,Mediterráneo - Puentelarra,emt,3,0.0294,0.0477,0.000394
crtm_red_transporte_madrid:4083,Bravo Murillo - María Zayas,emt,4,0.02932,0.0546,0.000452
crtm_red_transporte_madrid:5318,Doctor Arce,emt,2,0.02926,0.0595,0.000227
crtm_red_transporte_madrid:164,Gran Vía - Alcalá,emt,4,0.02926,0.0628,0.000449
crtm_red_transporte_madrid:1533,Junta Municipal Tetuán,emt,3,0.02916,0.0514,0.000371
crtm_red_transporte_madrid:3506,Alcalá - Cronos,emt,2,0.02901,0.0577,0.000256
crtm_red_transporte_madrid:1486,Plaza Castilla,emt,5,0.02884,0.05,0.000616
crtm_red_transporte_madrid:84,Teatro Circo Price,emt,4,0.02856,0.0635,0.000465
crtm_red_transporte_madrid:2651,Plaza De La Remonta,emt,3,0.02849,0.0527,0.000355
crtm_red_transporte_madrid:687,La Peseta - Pinar De San José,emt,2,0.02744,0.054,0.000281
crtm_red_transporte_madrid:2168,Torrespaña,emt,5,0.02724,0.0668,0.000551
crtm_red_transporte_madrid:4108,Gran Vía - Pedro Zerolo,emt,5,0.02717,0.0611,0.000579
